응답,변이,유전,경쟁,자원,차별적생존,집단 변화,목적론,사용,의지,적응,아무것도 없어
우리가 살면서 필요있는 물건을 개발하고 필요없는 것을 버려가며 살아가는데 장미도 진화되면 필요없는 것들이 사라지고 필요없는 것들을 가지게 되는 것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
달팽이가 진화 되면서 자연적으로 생기는 것이 아닐까요?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
느릅나무가 계속 물 햇빛 등 이런걸로 크고 있는데 자연 이변화 되면서 나무가 달라진 것 같다.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
독성이 생긴 달패이는 독성이 없던 조상 달팽이가 살던 곳에 천적과 같은 위험요소가 많아서 스스로 독성을 만들어 냈기 때문이다.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1. 주변에 위험요소와 천적이 없어서 가시가 없어졌다. 2. 조상 장미종으로 유전자 실험을 해서 가시를 없앴다.,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
조상 펭귄은 날 수 있었는데 주변에 천적과 위험요소가 없어서 날지를 못하다가 나는 기능이 퇴화됬다.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
조상 느릅나무는 그냥 시앗을 떨어뜨려서 멀리 퍼지지 못하고 죽는 씨앗이 많았을 것이다. 그래서 점점 날개가 있는 씨앗을 생산하여 씨앗을 멀리 퍼뜨리려 했다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
장미에는 가시가 있죠 왜냐하면 자신을 보호하기 위해서 하지만 장미의 한 종은 가시가 없다고 하죠? 그렇다면 그 가시가 없는 장미는 자신을 믿는것 입니다. 자신이 스스로 보호할 수 있다고 생각하여 가시가 없는 것 입니다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
사람도 그렇듯 화가나면 나쁜 마음이나 복수를 생각합니다. 달팽이도 나쁜 마음을 생각한다면 몸속에 있던 좋지않은 성분이 즉 독성이 분비가 될 수 있기 때문이라고 생각합니다. 또는 자신을 보호하기 위해서 분비할수 있다고 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
그 환 종은 날개가 퇴화되어서,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
세상에서 진화를 하지않는건 없다. 또 날개가 있다면 더욱 더 멀리 퍼뜨릴수 있기 때문에,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
씨앗이 생기는 걸 만들어 나무안에 뿌려서 생겼을 것이다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
옛날엔 지금처럼 누가 키워 주지않아서  가벼워서 날 수있고 현재는 날개도 자르고 먹이를 주어서 커져서 날 수없다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
조상 달팽이가 독에 쏘였는데 거기서부터 독이 있는 달팽이가 생겼다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
장미에다가 가시가 않나게 하는 겅르 넣었을 것이다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
시대가 변하면서 주변환경이 많이 변하므로 달팽이 한 종이 독성을 가지게 된것같다고 생각한다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
펭귄이 서로 다른 종끼리 생활해 지금까지 많은 유전자 혼합되서…,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
사람글이 식물에게 예전부터 약물을 써서(농약같은) 장미모양이 변형된 것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"나비, 벌이 꽃가루 같은것을 옮기다가 사고가 생겨 느릅나무의 한종과 어느 꽃가루같은 것이 합해져서 그렇다고 생각합니다.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"예전에 높은 곳에서 자랐을때, 자신의 종을 험한 곳 보다 좀 멀리 잘 자랄수 있는 곳으로 보내기위해 씨앗을 날개처럼 만들었을것 같다.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
가시가 있어서 나비 벌 등의 꿀을 옮겨 주는(꽃가루 포함) 벌레들이 냄새는 잘 안나고 가시는 있어서 다가가지 않았지 때문에 가시를 스스로 없앤것 같다.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"이 세상에 있는 생명은 자신을 보호 하기 위해 점차 진화해 가니까 달팽이들도 자신을 보호하기 위해서 일 것 같다. 예) 고래 (육지에 발이 달려 있었다. 물도 좋아 했지만, 결국 물속에서 살게 된다. 그래서 새끼를 낳음) 이건좀 아닌것 같지만 부엉이(밤에 활동 하기 위해 눈을 좋게 만듦)",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"조상중에 그 펭귄 종이 누구 한 마리가 우두머리 였는데, 그만 날다가 손을 다쳐서 대대로 날지는 않는것 같다.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
남극은 춥습니다. 몸은 따듯하게 하려고 포화지방을 만들어 추위를 견딜 수 있고 몸이 무거워져 날 수 없어진 것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
장미도 살려고 진화한 것 같습니다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
나무는 높이 커서 씨앗을 만듬니다. 높은데에서 떨어트리면 퉁격이 커서 씨앗이 깨질겁니다. 그래서 충격을 덜 가하기 위해서 날개를 만든겁니다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"몇십억전에 수많은 동물, 식물, 곤충들이 진화를 했습니다. 그러니 달팽이도 똑같이 진화를 한 것 같습니다.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
다른 생물이 피해를 입히지 않아 자신을 보호하는 가시가 필요없게 되었다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
펭귄은 추위를 이기기 위해서 몸에 지방을 쌓는다. 그래서 몸이 점점 커지거 무거워져서 날지 못하게 되었다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
느릅나무가 씨앗을 널리 퍼트리려고 진화를 하였다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
달팽이는 자신을 보호할 방법이 많이 없어서 진화하였다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
달팽이가 독을 먹었는데 죽지 않고 살아있다 그래서 그 달팽이가 알을 낳았을때 그 알에서 태어난 달팽이도 독이 생기는 것이다.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
가시가 있었는데 가시를 잘라서 없어진다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
펭귄을 수영을 발로만 하고 팔이 없어 날지 못한다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
씨앗에 날개를 붙여 심었더니 느릅나무에서 날개가 있는 씨앗을 생산한다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
진화가 되면서 자신의 천적과 위협하는 동물이 생겨서 그것에 적응하며 자신을 보호할 수 있게 독이 생겼다.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
환경이 점점 좋아지지 않아 가시가 없어졌다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
펭귄의 모먹이는 바다안에 있습니다. 그래서 날아 다니면서 먹이를 잡질 않아 날개를 잘 쓰지 않아 날아다니지 못하게 퇴화됬다.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
날개가 달려야 멀리멀리 날다가 좋은 자리에 씨앗을 심을 수 있기 때문,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"달팽이가 먹던 식물이, 천적인 달팽이를 피하기 위해 독을 만들었고, 그 식물을 먹은 달팽는 처음에는 다수가 죽었을 것이다. 죽지 않기 위해 진화를 선택한 달팽이는 식물의 독을 배출 하지 않고, 자신의 천적을 피하기 위해 독을 자신의 몸속에 저장하는 방법을 택한 것이다. 그래서 독성이 있는 달팽이가 생기게 된 것이다.",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"원래 가시가 있던 장미는 자신을 잡아먹는 천적 때문에 가시를 소유하고 있었던 것이다. 그런데 천적이 멸종하면서 가시가 필요가 없어졌고, 그 후 세대를 거듭하면서 가시가 없는 장미종이 생기게 된 것이다.",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"원래 날개가 없는 씨앗으 생산하던 느릅나무가 있던 다이, 경쟁자가 별로 없었을 것이다. 덕분에 느릅나무는 주위에만 자손을 번식했을 것이다. 그런데 다른 나무 종들이 점점 많이 생겨나면서 느릅나무는 경쟁을 해야했고, 그 때문에 자손을 더 멀리 퍼뜨리기 위하여 날개가 있는 씨앗을 생산하게 되었을 것이다.",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"조상 펭귄 종은 원래 얼음이 가득 있었던 빙하게 존재했을 것이다. 그 당시에는 높은 얼음들이 많아 날아다니는 것이 훨씬 편했을 것이다. 그 후 빙하기가 지나면서 얼음이 점점 녹아 바닷물이 생겼고, 이제는 날아다니는 것보다 헤엄치는 것이 편하게 되었다. 그래서 펭귄의 날개는 날기 위한 날개에서 헤엄치기 위한 지느러미아 비슷한 역할로 진화된 것이다.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"조상 달팽이의 환경은 독이 필요없었고, 지금의 달팽이는 지금의 환경에 독이 필요해서 진화하였다.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"조상 장미는 위험한 환경에서 자라나서 가시가 필요하였고, 지금 장미는 위험요소가 없는 자연 환겨에서 자라나서 필요없어 퇴화되었다.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
자연 환경이 바뀌어 자연환경에 맞게 진화되어서 느릅 나무가 진화되었다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
조상 펭귄은 더운 지방에서 살아서 몸집이 안커도 되서 날 수 있고 지금의 펭귄은 추운 지방에서 살게 되서 몸집이 커야되서 몸이 무거워 날 수 없게 되었다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
조상 달팽이가 독이든 음식을 먹고 온몸에 독이 퍼져 독성이 있는 달팽이가 생겼을 것이다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
어떤 화약학제품으로 인해 가시가 없어졌다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
이 펭귄은 하늘은 나는게 아니고 바닷속은 날아다니는 것이다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
나무에 신기한 성문이 있어서 날개가 있는 씨앗을 생산한 것이다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
달팽이가 독있는 먹이를 먹어서 독있는 달팽이가 탄생해서 점점 번식을 한 것이다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
